Topic,Count,Name,Representation,Representative_Docs
195,595,195_water_forecast opportunities_treatment_market forecast,"['water', 'forecast opportunities', 'treatment', 'market forecast', 'heat', 'opportunities', 'air', 'opportunities 2019', 'opportunities 2020', 'pumps']","['reg - ecofin water & power - directorate change', 'reg - ecofin water & power - annual financial report', 'china bottled water 2013 report']"
196,593,196_oil gas_outlook 2025_2025_gas,"['oil gas', 'outlook 2025', '2025', 'gas', 'exploration production', 'refinery', 'supply demand', 'infrastructure', '2020', 'qatar']","['turkey oil and gas exploration and production analysis and outlook to 2025', 'indonesia oil and gas exploration and production analysis and outlook to 2025', 'iran oil and gas exploration and production analysis and outlook to 2025']"
197,593,197_global energy_energy conference_america merrill_lynch,"['global energy', 'energy conference', 'america merrill', 'lynch', 'merrill lynch', 'bank america', 'merrill', 'present', 'energy', 'conference']","['nexen to present at bank of america merrill lynch global energy conference', 'hess to present at bank of america merrill lynch global energy conference', 'transocean ltd. to present at the bank of america merrill lynch global energy conference']"
198,592,198_pfizer_merck_astrazeneca_sanofi,"['pfizer', 'merck', 'astrazeneca', 'sanofi', 'glaxo', 'lilly', 'bristolmyers', 'drug', 'eli lilly', 'eli']","['pfizer sees tax savings from astrazeneca deal', 'pfizer hits back at astrazeneca claims', 'pfizer drops bid for astrazeneca']"
199,591,199_mexico_mexican_peso_inflation,"['mexico', 'mexican', 'peso', 'inflation', 'cenbank', 'stocks rise', 'sharply', 'stocks', 'central', 'central bank']","['mexican peso rises to highest against dollar in a year', 'dollar jumps against mexican peso after trump tweet', 'mexican peso strengthens against dollar']"
200,590,200_consumer_confidence_spending_consumer confidence,"['consumer', 'confidence', 'spending', 'consumer confidence', 'consumer spending', 'consumers', 'according', 'cea', 'index', 'highest level']","['consumer confidence drops', 'u.s. consumer confidence falls', 'u.s. consumer confidence falls']"
201,588,201_ipo_ipos_range_billion ipo,"['ipo', 'ipos', 'range', 'billion ipo', 'transactions', 'ipo sources', 'agbank', 'million ipo', 'ipo price', 'markit']","['two u.s. ipos price, four others postponed', '2011 ipo outlook survey: u.s. is losing its share of global ipos', 'three ipos postponed']"
202,584,202_india_inflation_cbank_rbi,"['india', 'inflation', 'cbank', 'rbi', 'rupees', 'uk inflation', 'food', 'bln rupees', 'inflation eases', 'rates']","['rbi plans to reintroduce inflation-indexed bonds', 'india food inflation rises', 'india cbank goal is to balance growth, inflation-rbi chief']"
203,579,203_mexico_pemex_grupo_mexican,"['mexico', 'pemex', 'grupo', 'mexican', 'reform', 'walmart', 'ica', 'televisa', 'gulf', 'geo']","['esco announces ami system expansion at cfe in mexico', 'mexico gas markets, 2012', 'pulses in mexico']"
204,576,204_hotel_hotels_marriott_hilton,"['hotel', 'hotels', 'marriott', 'hilton', 'starwood', 'wynn', 'resorts', 'casino', 'travel', 'intercontinental']","['sunstone hotel investors provides business update', 'the rise of the chinese international traveller - it now or never for global hotel industry', 'china hna to buy carlson rezidor hotel group']"
205,576,205_exchange_stock exchange_tsx_toronto,"['exchange', 'stock exchange', 'tsx', 'toronto', 'investmentpitchcom', 'video', 'lists', 'stock', 'posted', 'venture']","['touchstone gold to list on toronto stock exchange', 'olympia financial group lists on the toronto stock exchange tsx:oly - video news alert on investmentpitch.com', 'levon resources tsx:lvn begins trading on the toronto stock exchange - video summary posted on']"
206,575,206_ubs_hires_americas_rogue,"['ubs', 'hires', 'americas', 'rogue', 'wealth', 'trader', 'banker', 'merrill', 'advisers', 'investment bank']","['ubs plans loss-absorbing bond', 'ubs announces trading loss', 'ubs reports loss']"
207,573,207_london_winter_london stock_olympics,"['london', 'winter', 'london stock', 'olympics', 'seminar', 'stock exchange', '2022', 'games', 'win', 'exchange']","['how to invest in london property if you can t afford to buy', 'reg - london security plc - interim dividend', 'riverstone to ipo fund in london']"
208,567,208_close_credit_asia_spreads,"['close', 'credit', 'asia', 'spreads', 'dow jones', 'credits', 'jones', 'stocks close', 'widen', 'dow']","['asia credit close: lethargic market faces euro summit fatigue', 'asia credit close: investors take profits in the afternoon', 'centerra may close down kumtor']"
209,566,209_barclays_investment bank_libor_forex,"['barclays', 'investment bank', 'libor', 'forex', 'forex probe', 'probe', 'jobs', 'investment banking', 'sources', 'wealth']","['barclays claws back pay', 'text-s&p; ratings - barclays plc', 'analysis of barclays plc 2013']"
210,565,210_tender_offer_final_expiration,"['tender', 'offer', 'final', 'expiration', 'preliminary results', 'offers', 'cash', 'commencement', 'extension', 'preliminary']","['epolin, inc. and polymathes announce conclusion of tender offer', 'reg - chess capital secs - tender offer', 'caleres announces tender offer']"
211,563,211_suisse_credit suisse_credit_deutsche,"['suisse', 'credit suisse', 'credit', 'deutsche', 'evolution', 'deutsche bank', '85 ept', 'eur', '85', 'ri']","['reg - credit suisse eur wellstream hldgs plc - form 8.5 - wellstream holdings plc', 'credit suisse to give more files', 'credit suisse reports profit but investors unimpressed']"
212,561,212_pending_halt_announcement_trading,"['pending', 'halt', 'announcement', 'trading', 'mln shares', 'trade', 'period', 'suspended', 'resume', 'shares']","['brief-lanzhou minbai shares to halt trade pending announcement', 'brief-china boomsense technology shares to halt trading pending announcement', 'brief-taiya shoes shares to halt trading pending announcement']"
213,560,213_publishes_fitch publishes_fitch_trust,"['publishes', 'fitch publishes', 'fitch', 'trust', 'series', 'publishes new', 'fitch rates', 'master', 'certificates', 'fitch affirms']","['fitch publishes recovery analysis for u.s. power companies', 'fitch publishes new issue report on sequoia mortgage trust', 'fitch publishes compendium of research on indian banks']"
214,560,214_smart_grid_sustainability_energy,"['smart', 'grid', 'sustainability', 'energy', 'efficiency', 'prize', 'energy efficiency', 'meter', 'power', 'card']","['how secure is the smart grid', 'smart grid in korea', 'at&t; and elster announce smart grid offering']"
215,556,215_israel_israeli_tel_aviv,"['israel', 'israeli', 'tel', 'aviv', 'discount', 'fund performance', 'performance data', 'aberdeen', 'composition', 'elbit']","['bezeq israel telecom forecasts flat earnings for 2013', 'israel matomy buys mobfox', 'brief-israel bank hapoalim strategic plan']"
216,555,216_currencies_emerging_stocks_latam,"['currencies', 'emerging', 'stocks', 'latam', 'emergingmarket', 'stocks rise', 'weaken', 'stocks mixed', 'slip', 'stocks slip']","['emerging market currencies gain against dollar', 'emerging market currencies may hit oil', 'emerging market currencies rocked by fed fears']"
217,554,217_central bank_hungary_central_bank,"['central bank', 'hungary', 'central', 'bank', 'philippine', 'events', 'peru', 'banker', 'central banker', 'ecb']","['hungary banks offload bad property loans to central-bank fund', 'former fed staffer says central bank is under the thumb of academics', 'somali central bank says teller stole $530,000']"
218,552,218_settlement_court_supreme court_supreme,"['settlement', 'court', 'supreme court', 'supreme', 'liquidation', 'trustee', 'trial', 'appeal', 'fraud', 'strikes']","['supreme court sends spokeo case back to lower court', 'supreme court strikes down raisin program', 'supreme court rejects madoff trustee appeal on bank suits']"
219,552,219_leave_sec_enforcement_step,"['leave', 'sec', 'enforcement', 'step', 'chief', 'economist', 'chief economist', 'division', 'leaving', 'official']","['wall street perk: parental leave', 'jeb bush to leave rayonier board', 'cftc enforcement chief to leave']"
220,551,220_strategic business_global strategic_plastics_strategic,"['strategic business', 'global strategic', 'plastics', 'strategic', 'coatings', 'forecasts 2018', '2018', 'market forecasts', 'marine', 'protective']","['carpets wall-to-wall - global strategic business report', 'loudspeakers - global strategic business report', 'emulsifiers - global strategic business report']"
221,547,221_facebook_twitter_ipo_nasdaq,"['facebook', 'twitter', 'ipo', 'nasdaq', 'social', 'google', 'ad', 'trading noon', 'noon', 'linkedin']","['nasdaq shareholders mum on facebook ipo', 'massinvestor launches who owns facebook', 'secondmarket s unnecessary facebook fund']"
222,543,222_monthly_distribution_common share_declares,"['monthly', 'distribution', 'common share', 'declares', 'certain', 'share', 'common', 'income fund', 'fund ii', 'floating rate']","['first trust mortgage income fund declares its monthly common share distribution of $0.085 per share for september', 'first trust mortgage income fund declares its monthly common share distribution of $0.085 per share for march', 'first trust mortgage income fund declares its monthly common share distribution of $0.085 per share for december']"
223,541,223_boe_england_carney_new england,"['boe', 'england', 'carney', 'new england', 'rate rise', 'rate', 'bank', 'douglas', 'uk', 'inflation']","['a bank of england dovecote', 'boe next interest rate move likely to be up', 'boe haldane sees innovation, stagnation coexisting']"
224,538,224_fitch rates_unsecured_bbb_fitch,"['fitch rates', 'unsecured', 'bbb', 'fitch', 'rates', 'notes', 'sr', 'outlook stable', 'stable', 'bb']","['text-fitch rates wmeco $100mm sr unsecured notes at bbb', 'fitch rates kennametal new sr. unsecured debt bbb ; outlook stable', 'fitch rates telus senior unsecured notes offering bbb ; outlook stable']"
225,537,225_fuel_china oil_oil demand_gas,"['fuel', 'china oil', 'oil demand', 'gas', 'oil', 'yr', 'china', 'imports', 'pct yr', 'demand']","['strong prices fuel shell', 'china oil demand set to lead world again in 2012', 'iag warns on fuel costs']"
226,536,226_relations_investor relations_retains_engages,"['relations', 'investor relations', 'retains', 'engages', 'investor', 'communications', 'advisor', 'ir', 'new investor', 'consultant']","['umed holdings, inc. retains national public relations investor relations firm', 'wrgl retains princeton research for investor relations', 'thunder energies corporation retains barwicki investor relations to provide global investor relations']"
227,536,227_tokyo_japan_quake_japanese,"['tokyo', 'japan', 'quake', 'japanese', 'pension', 'applied materials', 'pension fund', 'applied', 'shares', 'ufj']","['in tokyo, responses to quake vary', 'evaluatepharma japan kk - now open for business in tokyo', 'tokyo bank bulks up in the u.s']"
228,531,228_dubai_islamic_uae_sukuk,"['dubai', 'islamic', 'uae', 'sukuk', 'dhabi', 'abu dhabi', 'abu', 'picks banks', 'dollar bond', 'qatar']","['dubai to act as hub for emerging islamic markets -idb', 'dubai jafza secures $1.2 bln islamic loan -document', 'dubai nakheel calculus']"
229,529,229_nigeria_nigerian_ghana_kenya,"['nigeria', 'nigerian', 'ghana', 'kenya', 'risks watch', 'political risks', 'key political', 'pretax', 'world bank', 'pretax profit']","['nigeria afribank says in talks with investors', 'nigeria fcmb posts 6 bln naira 9-mo profit', 'the report: nigeria 2012']"
230,528,230_biggest price_biggest_price_price monitoring,"['biggest price', 'biggest', 'price', 'price monitoring', 'gainers', 'holdings', 'monitoring', 'monitoring extension', 'pharmaceuticals', 'international']","['unisys, zoran: biggest price decliners uis, zran', 'carlisle, sanmina-sci: biggest price decliners csl, sanm', 'renesola, zeltiq aesthetics: biggest price decliners sol, zltq']"
231,528,231_lloyds_rbs_sky_broadcasting,"['lloyds', 'rbs', 'sky', 'broadcasting', 'broad', 'british', 'banking', 'tsb', 'branches', 'lloyd']","['fitch downgrades rbs, lloyds', 'lloyds, rbs reassure on capital', 'rbs, lloyds shares fall']"
232,525,232_advisers_merrill_hires_stanley,"['advisers', 'merrill', 'hires', 'stanley', 'morgan stanley', 'morgan', 'lynch', 'merrill lynch', 'adviser', 'brokers']","['morgan stanley hires wells fargo, merrill advisers', 'merrill lynch hires wells fargo, morgan stanley advisers', 'on the move-merrill lynch hires two advisers from morgan stanley']"
233,523,233_watch_earnings watch_aug_uk,"['watch', 'earnings watch', 'aug', 'uk', 'thursday', 'tuesday', 'july', 'monday', 'april', 'british']","['business watch: news digest', 'business watch: news digest', 'business watch: news digest']"
234,520,234_fees_fee_visa_mastercard,"['fees', 'fee', 'visa', 'mastercard', 'debit', 'card', 'rule', 'merchants', 'cfpb', 'settlement']","['sec digging into fund fees', 'capital one to refund some fees', 'visa, mastercard cut canada swipe fees']"
235,519,235_card_credit card_credit_abs,"['card', 'credit card', 'credit', 'abs', 'consumer credit', 'auto', 'transunion', 'card market', 'weekly', 'debit']","['creditcards.com weekly credit card rate report: credit card interest rates remain flat', 'text-fitch:u.s. credit card chargeoffs rise for first time in 2012', 'fitch: u.s. credit card chargeoffs rise for first time in 2012']"
236,517,236_gm_recall_recalls_switch,"['gm', 'recall', 'recalls', 'switch', 'death', 'cars', 'toyota', 'saic', 'lawyer', 'stake']","['wall street flat; u.s. dumps gm stake', 'gm pickups hit sales headwind', 'gm reports $2 billion profit']"
237,512,237_norway_trends opportunities_key trends_swedish,"['norway', 'trends opportunities', 'key trends', 'swedish', 'denmark', 'sweden', 'danish', 'opportunities 2017', 'insurance industry', 'opportunities']","['norway steams up investors in pipeline', 'norway oil fund curbed by losses', 'the insurance industry in norway, key trends and opportunities to 2016']"
238,511,238_reit_reits_commonwealth_health care,"['reit', 'reits', 'commonwealth', 'health care', 'care', 'realty', 'properties', 'shopping', 'phillips', 'healthcare']","['whitestone reit announces third quarter 2014 dividend', 'investor uprising reports on reit stock rise', 'dillard to form reit']"
239,510,239_opec_output_oil_oil output,"['opec', 'output', 'oil', 'oil output', 'oil prices', 'production', 'members', 'oil production', 'prices', 'cut']","['oil surges on opec deal to cut output', 'oil up as opec affirms output cut plan', 'oil flat ahead of opec']"
240,510,240_stake_bids_unit_sells,"['stake', 'bids', 'unit', 'sells', 'stake sale', 'majority stake', 'sells stake', 'majority', 'telefonica', 'talks']","['rajawali sells gresik stake for $1.1 billion', 'fresenius sells rhoen-klinikum stake', 'snc-lavalin unit barred from bids']"
241,505,241_inventories_crude_crude oil_supplies,"['inventories', 'crude', 'crude oil', 'supplies', 'gasoline', 'crudeoil', 'eia', 'stockpiles', 'oil', 'runs']","['u.s. crude oil, gasoline inventories fall', 'u.s. crude oil inventories rise; gasoline stockpiles fall', 'u.s. crude-oil supplies rise; gasoline inventories fall']"
242,504,242_samsung_intel_electronics_chip,"['samsung', 'intel', 'electronics', 'chip', 'smartphone', 'lg', 'galaxy', 'pc', 'apple', 'arm']","['samsung results jump', 'samsung s future is more intel, less apple', 'yandex partners with samsung']"
243,500,243_telecom_orange_technology media_global technology,"['telecom', 'orange', 'technology media', 'global technology', 'media', 'towers', 'jp morgan', 'jp', 'stake', 'key statistics']","['telecom italia sells telecom argentina stake', 'india to get $6.5 billion from telecom services next year', 'telecom italia to shuffle posts']"
244,495,244_quantum_applications_dot_global market,"['quantum', 'applications', 'dot', 'global market', 'materials', 'nanotechnology', 'transparent', 'minerals', 'geography', 'carbon']","['quantum corporation reports fiscal second quarter results', 'quantum materials acquires bayer technology services quantum dot manufacturing and quantum dot solar cell patents', 'first quantum minerals ltd. announce issuance of new first quantum shares']"
245,490,245_republic_competitive landscape_competitive_landscape,"['republic', 'competitive landscape', 'competitive', 'landscape', 'market trends', 'telecommunications', '2030', 'q3 2011', 'trends', 'regulations']","['poland power market outlook to 2030 - market trends, regulations and competitive landscape', 'india power market outlook to 2030 - market trends, regulations and competitive landscape', 'slovenia power market outlook to 2030 - market trends, regulations and competitive landscape']"
246,489,246_imf_g20_global growth_lagarde,"['imf', 'g20', 'global growth', 'lagarde', 'growth', 'warns', 'growth forecast', 'crisis', 'chief urges', 'chief']","['imf has resources to help in crisis: imf official', 'imf go home', 'imf: u.s. financial system still at risk']"
247,487,247_fannie_mae_freddie_mac,"['fannie', 'mae', 'freddie', 'mac', 'calendar', 'fannie freddie', 'note', 'multifamily', 'redemption', 'benchmark']","['freddie mac, fannie mae and fhlb 2012 note calendar', 'freddie mac, fannie mae and fhlb 2012 note calendar', 'freddie mac, fannie mae and fhlb 2012 note calendar']"
248,487,248_seven_released_critical_alerts,"['seven', 'released', 'critical', 'alerts', 'resorts', 'natural resources', 'motion', 'resources', 'sandisk', 'outfitters']","['critical alerts for wal-mart, barrick gold, sandisk, whirlpool, and tesoro released by seven summits research', 'critical alerts for bank of america, aetna, novellus, brocade communications, and moodys released by seven summits research', 'critical alerts for microsoft, dupont, union pacific, medcohealth solutions, and borgwarner released by seven summits research']"
249,481,249_merger_euronext_nyse euronext_nyse,"['merger', 'euronext', 'nyse euronext', 'nyse', 'deutsche', 'merger talks', 'lse', 'talks', 'deal', 'paris']","['nyse euronext profit off as global trading craters', 'd.boerse-nyse merger blocked in eu - eu source, nyse euronext', 'nyse euronext, deutsche boerse in talks to end merger plans']"
250,478,250_bitcoin_blockchain_mt_virtual,"['bitcoin', 'blockchain', 'mt', 'virtual', 'accept', 'currency', 'shop', 'exchanges', 'road', 'exchange']","['deng take: china attitude toward bitcoin evolves', 'who bails out bitcoin depositors', 'bitcoin evangelist is bound but not out']"
251,475,251_ge_ge capital_capital_facility,"['ge', 'ge capital', 'capital', 'facility', 'unit', 'credit facility', 'arm', 'healthcare', 'finance', 'agent']","['ge to acquire metem', 'ge to buy lineage power', 'ge to buy avio for $4 billion']"
252,473,252_split_reverse_stock_effective,"['split', 'reverse', 'stock', 'effective', 'repo', 'november 30', 'results november', 'forward', 'effectiveness', 'splits']","['graymark announces 1-for-4 reverse stock split', 'cytrx announces reverse stock split', 'brief-diana containerships announces reverse stock split']"
253,472,253_lehman_brothers_creditors_brokerage,"['lehman', 'brothers', 'creditors', 'brokerage', 'toll', 'fight', 'billions', 'claim', 'sues', 'settle']","['lehman to pay another $2.8 billion to creditors', 'jpmorgan countersues collapsed lehman brothers', 'the fed and lehman brothers']"
254,471,254_job_jobs_private sector_sector,"['job', 'jobs', 'private sector', 'sector', 'instant view', 'adp', 'instant', 'private', 'payrolls', 'openings']","['private sector adds 217,000 jobs', 'adp: private sector adds jobs', 'adp: private sector adds jobs']"
255,471,255_bp_spill_gulf_enbridge,"['bp', 'spill', 'gulf', 'enbridge', 'oil', 'deepwater', 'shell', 'alaska', 'kill', 'gas']","['bp set to announce tnk-bp deal', 'some bp investors relieved', 'bp can do business with u.s.']"
256,469,256_encourages_contact_excess_100000,"['encourages', 'contact', 'excess', '100000', 'losses', 'deadline', 'lead', 'shareholder', 'alert', 'investors']","['shareholder alert: brower piven encourages investors who have losses in excess of $100,000 from investment in resonant inc. to contact brower piven before the lead plaintiff deadline in class action lawsuit -- resn', 'shareholder alert: brower piven encourages investors who have losses in excess of $100,000 from investment in mobileiron, inc. to contact brower piven before the lead plaintiff deadline in class action lawsuit -- mobl', 'shareholder alert: brower piven encourages investors who have losses in excess of $100,000 from investment in sientra, inc. to contact brower piven before the lead plaintiff deadline in class action lawsuit -- sien']"
257,468,257_saudi_libya_saudi arabia_arabia,"['saudi', 'libya', 'saudi arabia', 'arabia', 'iraq', 'aramco', 'oil', 'libyan', 'oil output', 'output']","['saudi arabia says oil prices may rebound', 'saudi arabia raises oil prices to asia', 'pestle analysis of saudi arabia 2012']"
258,468,258_shares end_end_end lower_indian,"['shares end', 'end', 'end lower', 'indian', 'monthend', 'end higher', 'stocks end', 'lower', 'shares', 'assets management']","['indian shares end lower', 'indian shares end lower', 'indian shares end lower']"
259,466,259_weekly_social_responsibility_recap,"['weekly', 'social', 'responsibility', 'recap', 'glance', 'open market', 'corporate', 'social media', 'operations', 'world']","['corporate social responsibility weekly recap june 9 - june 15, 2011', 'corporate social responsibility weekly recap february 24 - march 3, 2010', 'corporate social responsibility weekly recap may 11 - may 18, 2011']"
260,462,260_patent_ip_eliminate_comprehensive,"['patent', 'ip', 'eliminate', 'comprehensive', 'icap', 'intellectual', 'search', 'portfolio', 'brokerage', 'intellectual property']","['neptune secures another u.s. patent', 'analysis of the expired patent: nichia yag phosphor', 'sefe, inc. otcbb: sefe : sefe highlights third patent']"
261,462,261_central banks_central_monetary_monetary policy,"['central banks', 'central', 'monetary', 'monetary policy', 'central bankers', 'negative rates', 'banks', 'bankers', 'foreign', 'negative']","['foreign central banks us debt holdings - fed', 'central banks and the markets: who guiding', 'what pawnbrokers can teach central banks']"
262,457,262_sands_vegas_las_las vegas,"['sands', 'vegas', 'las', 'las vegas', 'macau', 'oil sands', 'casino', 'wynn', 'gambling', 'canadian oil']","['asset strategy funds move position from sands china ltd. to las vegas sands', 'las vegas sands net rises on macau, las vegas strength', 'macau probes las vegas sands']"
263,456,263_iron_ore_iron ore_steel,"['iron', 'ore', 'iron ore', 'steel', 'fortescue', 'china', 'imports', 'output', 'tariffs', 'steelmakers']","['india restricts iron ore trade', 'a rusty outlook for iron ore', 'iron ore under fire']"
264,456,264_asia_oil futures_oil_oil prices,"['asia', 'oil futures', 'oil', 'oil prices', 'futures', 'asiapacific', 'asia pacific', 'fund performance', 'performance data', 'composition']","['asia bolsteing u.k. pru sales', 'asia optics report 2013', 'accountancy asia']"
265,453,265_coffee_sugar_cocoa_ivory,"['coffee', 'sugar', 'cocoa', 'ivory', 'brazil', 'futures', 'raw', 'coast', 'prices', 'exports']","['ice sugar, coffee and cocoa market opens to be delayed in march', 'sugar, coffee, cocoa futures fall', 'ny sugar, cocoa end up, coffee off, trade technical']"
266,451,266_women_literacy_entrepreneurs_education,"['women', 'literacy', 'entrepreneurs', 'education', 'students', 'female', 'month', 'national', 'young', 'youth']","['first ladies global call to action conference on women and girls financial health', 'what holding back women in tech', 'ecb board will have no women']"
267,451,267_aig_aia_bailout_treasury,"['aig', 'aia', 'bailout', 'treasury', 'greenberg', 'ny fed', 'geithner', 'sale', 'prudential', 'unit']","['aig names chief underwriter', 'investors show interest in aig', 'aig cassano: we were prudent']"
268,451,268_ups_fedex_startups_postal,"['ups', 'fedex', 'startups', 'postal', 'express', 'ante', 'service', 'deliveries', 'mail', 'holiday']","['fedex, ups gain ground in china', 'ups, fedex on time this holiday', 'a new threat to ups and fedex']"
269,450,269_japanese_yields_yields rise_yields fall,"['japanese', 'yields', 'yields rise', 'yields fall', 'yield', '10year', 'bond yields', 'japan', 'rise', 'auction']","['japanese yields stable', 'japanese bank is under fire', 'japanese yields firm']"
270,450,270_placement_private placement_private_closes,"['placement', 'private placement', 'private', 'closes', 'financing', 'closing', 'minerals', 'tranche', 'million', 'gold']","['brief-unigold announces brokered private placement of c$2,500,000', 'artisan energy announces brokered private placement', 'artisan energy announces brokered private placement']"
271,444,271_plant_bmw_daimler_upbeat,"['plant', 'bmw', 'daimler', 'upbeat', 'earnings rise', 'margin', 'truck', 'boosted', 'invests', 'sales']","['bmw sales chief upbeat on u.s. demand', 'daimler still bullish about china amid bmw woes', 'daimler to invest in basque plant']"
272,443,272_australian_unemployment_australia_new zealand,"['australian', 'unemployment', 'australia', 'new zealand', 'zealand', 'business', 'rba', 'economy', 'nz', 'rate falls']","['australian business news - march 1', 'australian business news - may 6', 'australian business news - may 6']"
273,441,273_barrick_production_gold_newmont,"['barrick', 'production', 'gold', 'newmont', 'goldcorp', 'mining', 'output', 'gold price', 'loss', 'reserves']","['barrick gold announces dividend', 'barrick gold announces dividend', 'barrick gold announces dividend']"
274,439,274_boj_easing_policy_abe,"['boj', 'easing', 'policy', 'abe', 'yen', 'inflation', 'view', 'negative rates', 'debate', 'economy']","['boj shirakawa: must avoid view boj monetising debt', 'boj noda:must avoid boj appearing to monetise debt', 'boj iwata hospitalized to treat back condition']"
275,438,275_novartis_abbott_profit soars_soars,"['novartis', 'abbott', 'profit soars', 'soars', 'medtronic', 'profit sales', 'profit', 'novo', 'nordisk', 'novo nordisk']","['novartis to axe 500 jobs in u.s.', 'novartis profit rises', 'novartis profit creeps higher']"
276,437,276_preciousgold_euro zone_zone_worries,"['preciousgold', 'euro zone', 'zone', 'worries', 'euro', 'debt', 'euro debt', 'zone debt', 'europe debt', 'middle east']","['precious-gold steady above $1,550 on euro zone debt worries', 'precious-gold off 3-week high, euro zone debt fears support', 'gold extends gains as euro zone worries ease']"
277,436,277_crude_brent_futures_oil futures,"['crude', 'brent', 'futures', 'oil futures', 'crude prices', 'crudeoil', 'crude oil', 'futures rise', 'settle', 'eia']","['crude ends lower', 'data freak: crude awakening for investors', 'a crude reawakening']"
278,435,278_zealand_new zealand_statistics_australia,"['zealand', 'new zealand', 'statistics', 'australia', 'overview', 'broadband', 'statistics forecasts', 'market overview', 'broadband market', 'new']","['new zealand australia morning call-global markets', 'new zealand australia morning call-global markets', 'australia and new zealand scada market']"
279,432,279_mln_new issue_300 mln_200 mln,"['mln', 'new issue', '300 mln', '200 mln', 'sells', 'mln euro', 'issue', 'adds', '300', '200']","['new issue- otto prices 300 mln euro 2019 bond', 'new issue- asb prices 300 mln euro 2017 frn', 'new issue- ibb prices 300 mln euro 2018 frn']"
280,427,280_settles_barrel_90_crude,"['settles', 'barrel', '90', 'crude', 'oil', '80', '100', 'gold', '87', 'charges']","['oil settles higher', 'gold settles at $1,088', 'crude settles']"
281,426,281_energy shares_drag_set open_selloff,"['energy shares', 'drag', 'set open', 'selloff', 'street', 'opens', 'energy stocks', 'energy', 'alcoa', 'stocks']","['us stocks-wall street rises on energy shares, banks', 'us stocks-wall st falls as consumer, energy shares drag', 'energy shares drag down stocks']"
282,425,282_lng_cnooc_nexen_contracts,"['lng', 'cnooc', 'nexen', 'contracts', 'export', 'terminal', '20142020', 'outlook 2020', 'project', '2020']","['india seeks indonesia, brunei lng', 'lng industry looks to emerging markets for growth', 'kepco in $3.4 billion lng deal']"
283,424,283_india_deficit_slows_trade deficit,"['india', 'deficit', 'slows', 'trade deficit', 'growth slows', 'growth', 'output', 'trade', 'exports', 'factory']","['u.s. trade deficit last year was widest since 2012', 'india trade deficit widens', 'india trade deficit widens']"
284,422,284_sea_ties_talks_barriers,"['sea', 'ties', 'talks', 'barriers', 'north', 'china', 'defence', 'warns', 'trade', 'disputes']","['china says has shown great restraint in south china sea', 'u.k. firm continues south china sea exploration', 'u.s. urges china to open talks on south china sea']"
285,422,285_commodities_commodity_commodity prices_bulls,"['commodities', 'commodity', 'commodity prices', 'bulls', 'prices', 'copper', 'slump', 'russell', 'slide', 'tumble']","['commodities-few markets gain; druckenmiller says supercycle over', 'commodities get in on the global rally', 'companies stock up on commodities']"
286,420,286_corporate earnings_sp 500_charter_intl,"['corporate earnings', 'sp 500', 'charter', 'intl', 'sp', '500', 'corporate', 'week ahead', 'ept', 'market access']","['s&p; 500 corporate earnings month ahead', 's&p; 500 corporate earnings month ahead', 's&p; 500 corporate earnings month ahead']"
287,418,287_aussie_dollar_rba_australian,"['aussie', 'dollar', 'rba', 'australian', 'new zealand', 'zealand', 'dollar falls', 'nz', 'jobs data', 'yen']","['aussie, euro gain big on dollar', 'nzd lower on aussie jobs', 'aussie dollar takes off']"
288,418,288_shipping_rail_train_freight,"['shipping', 'rail', 'train', 'freight', 'container', 'link', 'highspeed', 'cargo', 'ships', 'road']","['shipping firms form alliance', 'a shipping line is crossed', 'maersk: we misjudged shipping demand']"
289,416,289_senate_white_white house_panel,"['senate', 'white', 'white house', 'panel', 'house', 'nominees', 'cftc', 'sec', 'nominee', 'hearing']","['wall street has its 2016 white house empty vessel', 'white house brushed off solyndra alarms', 'senate panel backs white at sec']"
290,416,290_ma_pwc_deals_mergers acquisitions,"['ma', 'pwc', 'deals', 'mergers acquisitions', 'mergers', 'activity', 'acquisitions', 'according', 'buyout', 'foreclosure']","['divestitures continue to drive industrial products m&a; activity in third quarter, according to pwc us', 'industrial products m&a; activity surges in second quarter, according to pwc us', 'technology deals drop abruptly in first quarter of 2013, says pwc us']"
291,413,291_bell_ring_stock market_opening,"['bell', 'ring', 'stock market', 'opening', 'nasdaq', 'closing', 'stock', 'york stock', 'stock exchange', 'rings']","['talmer bancorp, inc. to ring the nasdaq stock market opening bell', 'first trust to ring the nasdaq stock market opening bell', 'flexshares to ring the nasdaq stock market opening bell']"
292,411,292_shilling_vs dollar_vs_kenya,"['shilling', 'vs dollar', 'vs', 'kenya', 'weakens', 'steady', 'dollar', 'dlr', 'holds steady', 'stocks']","['kenyan shilling steady vs dollar, stocks down', 'kenyan shilling steady vs dollar, stocks down', 'kenya shilling stable vs dollar, stocks down']"
293,409,293_mortgage_bankrate_fixed_rates,"['mortgage', 'bankrate', 'fixed', 'rates', 'fixed income', 'mortgage capital', 'adjusts', 'mortgage market', '30year', 'bank group']","['mortgage rates mostly lower', 'penfed invents new adjustable rate mortgage', 'mortgage rates below 4%']"
